               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.027414,             0.01479,           0.0041999,              0.9315,             0.84495,             0.91519,              0.6391,            0.026654,           0.0097012,           0.0037162,            0.002377,            0.002377,            0.002377
                  79,            0.027274,            0.014759,           0.0039701,             0.91727,             0.86157,             0.91687,             0.64003,            0.026618,           0.0096841,           0.0035535,            0.002278,            0.002278,            0.002278
                  80,            0.027067,            0.014864,           0.0039686,             0.92093,              0.8548,             0.91622,             0.63939,            0.026667,           0.0096713,           0.0035286,            0.002179,            0.002179,            0.002179
                  81,            0.027113,            0.014909,           0.0040393,             0.93281,             0.85151,             0.91706,             0.64292,            0.026594,           0.0096563,            0.003486,             0.00208,             0.00208,             0.00208
                  82,            0.027038,            0.014552,           0.0038937,             0.92224,             0.86136,             0.91657,             0.64672,            0.026398,           0.0096206,           0.0035443,            0.001981,            0.001981,            0.001981
                  83,             0.02687,            0.014654,           0.0039079,             0.93101,             0.85546,             0.91793,              0.6464,            0.026499,           0.0096773,           0.0035554,            0.001882,            0.001882,            0.001882
                  84,            0.026765,            0.014632,           0.0038887,             0.92769,             0.85993,             0.91695,             0.64549,            0.026445,           0.0096789,           0.0035099,            0.001783,            0.001783,            0.001783
                  85,              0.0265,            0.014457,           0.0038484,             0.93145,             0.86205,             0.91787,             0.64834,            0.026389,           0.0096551,           0.0035948,            0.001684,            0.001684,            0.001684
                  86,            0.026097,            0.014124,           0.0036194,             0.92732,             0.85835,             0.91664,             0.64713,            0.026365,           0.0096808,           0.0035799,            0.001585,            0.001585,            0.001585
                  87,             0.02606,            0.014294,           0.0036677,             0.92584,             0.85623,             0.91764,             0.64729,            0.026393,           0.0097161,           0.0035593,            0.001486,            0.001486,            0.001486
                  88,            0.026265,            0.014396,           0.0037062,             0.92601,             0.85893,              0.9178,             0.64563,            0.026504,           0.0097267,            0.003675,            0.001387,            0.001387,            0.001387
                  89,            0.025921,            0.014211,           0.0037383,              0.9285,             0.85673,             0.91893,             0.64689,            0.026427,           0.0096777,           0.0035939,            0.001288,            0.001288,            0.001288
                  90,            0.025939,            0.014132,           0.0035943,             0.93273,             0.85352,             0.91689,             0.64864,            0.026311,           0.0097184,           0.0036217,            0.001189,            0.001189,            0.001189
                  91,            0.025861,            0.014105,           0.0035593,             0.92365,             0.86209,             0.91843,             0.65029,            0.026252,           0.0096687,           0.0035638,             0.00109,             0.00109,             0.00109
                  92,            0.025787,            0.014111,           0.0035935,             0.92679,             0.86178,             0.91917,             0.65143,            0.026212,            0.009667,           0.0035097,            0.000991,            0.000991,            0.000991
                  93,            0.025496,            0.013956,           0.0033616,             0.92251,             0.86178,             0.91864,             0.65217,            0.026193,           0.0096439,           0.0035969,            0.000892,            0.000892,            0.000892
                  94,             0.02543,            0.014122,           0.0036429,             0.92841,             0.86173,             0.91916,             0.65275,            0.026159,           0.0096614,           0.0035907,            0.000793,            0.000793,            0.000793
                  95,            0.025387,            0.013881,           0.0033825,             0.92849,             0.86174,             0.91851,               0.655,            0.026107,           0.0096701,           0.0035512,            0.000694,            0.000694,            0.000694
                  96,            0.025435,             0.01389,           0.0035238,             0.92789,             0.85969,             0.91885,             0.65563,            0.026095,           0.0096844,           0.0035205,            0.000595,            0.000595,            0.000595
                  97,            0.024887,            0.013806,           0.0034758,              0.9329,             0.85704,             0.91791,             0.65577,            0.026057,           0.0097017,           0.0035701,            0.000496,            0.000496,            0.000496
                  98,            0.024939,            0.013788,           0.0036322,             0.93132,             0.85878,             0.91813,             0.65572,            0.026047,            0.009709,             0.00362,            0.000397,            0.000397,            0.000397
                  99,            0.025047,            0.013835,            0.003517,              0.9251,              0.8637,             0.91922,             0.65578,            0.026087,           0.0097134,           0.0036099,            0.000298,            0.000298,            0.000298
