               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.028099,            0.015184,             0.00412,             0.92748,             0.85796,             0.91752,             0.64619,            0.026533,            0.009805,           0.0039053,            0.002971,            0.002971,            0.002971
                  73,            0.028118,            0.015464,            0.004405,             0.92614,              0.8568,             0.91797,             0.64792,            0.026458,           0.0098502,            0.003837,            0.002872,            0.002872,            0.002872
                  74,            0.027744,            0.015316,           0.0041899,             0.92555,             0.85833,             0.91982,             0.64785,            0.026435,              0.0098,           0.0037428,            0.002773,            0.002773,            0.002773
                  75,            0.027577,             0.01528,           0.0039218,             0.92563,             0.85923,             0.91906,             0.65034,             0.02637,           0.0098409,            0.004007,            0.002674,            0.002674,            0.002674
                  76,            0.027713,            0.014987,           0.0042073,             0.92124,             0.85587,             0.91796,             0.64851,            0.026351,           0.0098288,            0.003993,            0.002575,            0.002575,            0.002575
                  77,            0.027644,            0.015138,           0.0041321,             0.91837,             0.86616,             0.91968,             0.65177,            0.026297,           0.0098103,           0.0037393,            0.002476,            0.002476,            0.002476
                  78,            0.027244,            0.014697,            0.004163,             0.91893,             0.86018,             0.91804,             0.65031,            0.026395,            0.009843,           0.0037576,            0.002377,            0.002377,            0.002377
                  79,            0.027291,            0.014857,           0.0038781,             0.91973,             0.86319,             0.91908,             0.65361,             0.02626,           0.0098326,           0.0037632,            0.002278,            0.002278,            0.002278
                  80,            0.027006,            0.014805,           0.0039129,             0.92763,             0.85675,             0.92017,              0.6546,            0.026194,            0.009812,           0.0036428,            0.002179,            0.002179,            0.002179
                  81,            0.027137,            0.014908,           0.0039253,              0.9253,             0.86562,             0.92051,             0.65552,            0.026095,           0.0097584,           0.0037098,             0.00208,             0.00208,             0.00208
                  82,             0.02669,            0.014635,           0.0039427,             0.93099,             0.86059,             0.92057,             0.65502,             0.02606,           0.0097806,           0.0037176,            0.001981,            0.001981,            0.001981
                  83,            0.026763,            0.014651,           0.0037757,             0.93153,             0.86383,             0.92362,             0.65814,            0.026007,           0.0097172,           0.0036899,            0.001882,            0.001882,            0.001882
                  84,            0.026707,            0.014579,           0.0040428,              0.9276,             0.86545,             0.92199,             0.65544,            0.025965,           0.0097685,           0.0035905,            0.001783,            0.001783,            0.001783
                  85,            0.026267,            0.014268,           0.0037461,             0.93297,             0.85775,             0.91973,             0.65666,            0.025923,           0.0097907,           0.0035492,            0.001684,            0.001684,            0.001684
                  86,            0.026189,            0.014087,           0.0037038,             0.92683,             0.86298,             0.92048,             0.65721,            0.025948,           0.0098066,             0.00355,            0.001585,            0.001585,            0.001585
                  87,            0.026169,            0.014334,           0.0036806,             0.92775,             0.85915,             0.91898,             0.65735,            0.025908,           0.0098125,           0.0036243,            0.001486,            0.001486,            0.001486
                  88,             0.02635,            0.014438,           0.0037667,             0.92703,             0.86499,             0.91946,             0.65737,            0.025941,           0.0098508,           0.0036619,            0.001387,            0.001387,            0.001387
                  89,            0.026009,            0.014255,           0.0036916,              0.9351,             0.85876,             0.92113,             0.65902,            0.025926,           0.0098621,           0.0036726,            0.001288,            0.001288,            0.001288
                  90,            0.025885,            0.014251,           0.0037285,             0.93522,             0.86369,             0.92111,             0.65828,            0.025879,           0.0098636,           0.0037728,            0.001189,            0.001189,            0.001189
                  91,            0.025814,            0.014182,           0.0035053,             0.92855,             0.86736,             0.92269,             0.66148,            0.025787,           0.0097932,           0.0037799,             0.00109,             0.00109,             0.00109
                  92,            0.025848,             0.01411,           0.0035667,             0.92778,             0.87062,               0.923,             0.66482,            0.025704,           0.0097783,           0.0037577,            0.000991,            0.000991,            0.000991
                  93,            0.025407,            0.013966,           0.0035071,             0.92513,             0.86892,             0.92187,             0.66344,            0.025714,           0.0097705,           0.0038708,            0.000892,            0.000892,            0.000892
                  94,             0.02521,            0.013983,           0.0034562,             0.93054,             0.86086,             0.92201,             0.66325,             0.02572,           0.0098031,           0.0038818,            0.000793,            0.000793,            0.000793
                  95,            0.025376,            0.013965,            0.003524,             0.93952,             0.85404,             0.92294,             0.66537,            0.025724,           0.0098226,           0.0039647,            0.000694,            0.000694,            0.000694
                  96,            0.025329,            0.014008,           0.0034927,             0.93783,             0.85714,             0.92259,             0.66639,            0.025701,           0.0098158,           0.0039121,            0.000595,            0.000595,            0.000595
                  97,            0.024823,             0.01372,            0.003378,             0.93687,             0.85974,             0.92219,             0.66602,            0.025671,           0.0098178,           0.0039609,            0.000496,            0.000496,            0.000496
                  98,            0.025022,            0.013854,           0.0036168,             0.93465,              0.8601,             0.92223,             0.66659,            0.025642,           0.0098248,           0.0039714,            0.000397,            0.000397,            0.000397
                  99,            0.024923,            0.013738,           0.0034181,             0.93611,             0.86184,             0.92244,             0.66745,            0.025648,           0.0098297,           0.0040005,            0.000298,            0.000298,            0.000298
